,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
0,3660019601,3660010100,3660008800,0,1.0,106,지방도902호선,0,000,60.0,0,40000.0,400.0,,,5,47000,157,000,902,,,,,4551.68016131
1,3660019501,3660008800,3660010100,0,1.0,106,지방도902호선,0,000,60.0,0,40000.0,400.0,,,5,47000,157,000,902,,,,,4558.33384562
2,1570001503,1570000900,1570012800,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,,,,20080723086,163.910884897
3,1570001603,1570012800,1570000900,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,,,20080723086,,168.525412993
4,1570029900,1570001100,1570012600,0,2.0,101,중부내륙고속도로,0,000,100.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP201,,,20080723134,1182.78656905
5,1570030200,1570012600,1570001100,0,2.0,101,중부내륙고속도로,0,000,100.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP202,,20080723134,,1179.86008373
6,1570029300,1570012900,3670008200,0,2.0,101,중부내륙고속도로,0,000,100.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP209,,20080723085,20080723133,9947.19150478
7,1570029400,3670008200,1570012900,0,2.0,101,중부내륙고속도로,0,000,100.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP208,,20080723133,20080723085,9944.50802065
8,1570029500,1570012900,1570012600,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP200,,20080723085,20080723134,1343.06342277
9,1570029600,1570012800,1570012900,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP205,,20080723086,20080723085,885.514791718
10,1570030300,1570012600,1570012800,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP204,,20080723134,20080723086,759.955932956
11,1570030400,1570012600,1570012900,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP203,,20080723134,20080723085,1440.8753155
12,1570001502,1570012800,1570012700,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,,,20080723086,20080723124,307.669773218
13,1570001602,1570012700,1570012800,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,,,20080723124,20080723086,312.295372103
14,1570029800,1570000900,1570012600,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP207,,,20080723134,1528.28201629
15,1570030000,1570012600,3910015900,0,2.0,101,중부내륙고속도로,0,000,100.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP198,,20080723134,,15214.6869407
16,1570029700,1570012900,1570000900,0,1.0,101,중부내륙고속도로,0,101,40.0,5,0.0,0.0,,,5,51110,157,000,14,TEMP206,,20080723085,,888.71817386
17,1510044900,1510019000,1510019100,0,1.0,104,파군재길,0,000,30.0,0,0.0,0.0,,,5,27000,151,000,0,RO2700002200000,,RN2700002000000,RN2700001900000,201.289703561
18,1520022900,1520008200,1520008100,0,2.0,101,가르뱅이2길,0,000,60.0,0,0.0,0.0,,,5,27000,152,000,0,RO2700002300000,,RN2700027800000,RN2700003900000,155.774810135
19,1520023000,1520008200,1520008300,0,2.0,101,가르뱅이2길,0,000,60.0,0,0.0,0.0,,,5,27000,152,000,0,RO2700002400000,,RN2700027800000,RN2700005800000,196.51713878
20,1520023100,1520008300,1520008200,0,2.0,101,가르뱅이2길,0,000,60.0,0,0.0,0.0,,,5,27000,152,000,0,RO2700002500000,,RN2700005800000,RN2700027800000,203.260237693
21,1520023200,1520008100,1520008200,0,2.0,101,가르뱅이2길,0,000,60.0,0,0.0,0.0,,,5,27000,152,000,0,RO2700002600000,,RN2700003900000,RN2700027800000,148.028659283
22,1510045000,1510008600,1510016600,0,2.0,104,반야월로,0,000,50.0,0,0.0,0.0,,,5,27000,151,000,0,RO2700002700000,,,RN2700004900000,352.51929866
23,1510045100,1510016600,1510008600,0,2.0,104,반야월로,0,000,50.0,0,0.0,0.0,,,5,27000,151,000,0,RO2700002800000,,RN2700004900000,,356.037342494
24,1540093700,1540022400,1540033400,0,4.0,104,서변로,0,000,80.0,0,0.0,0.0,,,5,27000,154,000,33,RO2700004300000,,,RN2700025000000,601.351271335
25,1540093800,1540031900,1540020900,0,3.0,104,섬유로,0,000,60.0,0,0.0,0.0,,,5,27000,154,000,0,RO2700004400000,,RN2700022200000,,149.386532826
26,1540093900,1540020900,1540031900,0,3.0,104,섬유로,0,000,60.0,0,0.0,0.0,,,5,27000,154,000,0,RO2700004500000,,,RN2700022200000,150.04966143
27,1540094000,1540015900,1540030600,0,3.0,104,대학로,0,000,70.0,0,0.0,0.0,,,5,27000,154,000,65,RO2700004600000,,,RN2700001300000,423.084788272
28,1540094100,1540030600,1540015900,0,2.0,104,대학로,0,000,70.0,0,0.0,0.0,,,5,27000,154,000,65,RO2700004700000,,RN2700001300000,,426.133411153
29,1540094200,1540033200,1540004400,0,3.0,101,경부고속도로진입로,0,101,50.0,0,0.0,0.0,,,5,27000,154,000,1,RO2700004800000,,RN2700021800000,,408.090606992
