,LINK_ID,Source,Target,MAX_SPD
0,3660019601,3660010100,3660008800,60.0
1,3660019501,3660008800,3660010100,60.0
2,1570001503,1570000900,1570012800,40.0
3,1570001603,1570012800,1570000900,40.0
4,1570029900,1570001100,1570012600,100.0
5,1570030200,1570012600,1570001100,100.0
6,1570029300,1570012900,3670008200,100.0
7,1570029400,3670008200,1570012900,100.0
8,1570029500,1570012900,1570012600,40.0
9,1570029600,1570012800,1570012900,40.0
10,1570030300,1570012600,1570012800,40.0
11,1570030400,1570012600,1570012900,40.0
12,1570001502,1570012800,1570012700,40.0
13,1570001602,1570012700,1570012800,40.0
14,1570029800,1570000900,1570012600,40.0
15,1570030000,1570012600,3910015900,100.0
16,1570029700,1570012900,1570000900,40.0
17,1510044900,1510019000,1510019100,30.0
18,1520022900,1520008200,1520008100,60.0
19,1520023000,1520008200,1520008300,60.0
20,1520023100,1520008300,1520008200,60.0
21,1520023200,1520008100,1520008200,60.0
22,1510045000,1510008600,1510016600,50.0
23,1510045100,1510016600,1510008600,50.0
24,1540093700,1540022400,1540033400,80.0
25,1540093800,1540031900,1540020900,60.0
26,1540093900,1540020900,1540031900,60.0
27,1540094000,1540015900,1540030600,70.0
28,1540094100,1540030600,1540015900,70.0
29,1540094200,1540033200,1540004400,50.0
30,1540094300,1540033300,1540033200,50.0
31,1510053300,1510016700,1510010300,80.0
32,1510053400,1510010300,1510016700,80.0
33,1510053500,1510001600,1510017000,70.0
34,1510053600,1510017000,1510017200,70.0
35,1510053700,1510017000,1510001600,70.0
36,1510059600,1510017200,1510017000,70.0
37,1510059700,1510008400,1510016600,50.0
38,1560082500,1560028000,1560019600,40.0
39,1560082600,1560026300,1560026400,40.0
40,1560082700,1560026400,1560026300,40.0
41,1560082800,1560026300,1560009700,40.0
42,1560082900,1560009700,1560026300,40.0
43,1560083000,1560029400,1560029900,40.0
44,1560083900,1560028700,1560028800,50.0
45,1560084000,1560014900,1560027200,60.0
46,1560084100,1560027200,1560014900,60.0
47,1560084200,1560018300,1560028100,40.0
48,1560084300,1560028100,1560027800,50.0
49,1560084400,1560027800,1560028100,50.0
50,1560095600,1560026600,1560026500,40.0
51,1560095700,1560026500,1560026200,40.0
52,1560095800,1560025900,1560026100,40.0
53,1560095900,1560026100,1560026200,40.0
54,1560096000,1560026200,1560026100,40.0
55,1560096100,1560026100,1560025900,40.0
56,1560097000,1560024700,1560025100,50.0
57,1560097100,1560025100,1560024700,50.0
58,1570033700,1570011600,1570011700,40.0
59,1570033800,1570011700,1570011600,40.0
60,1570033900,1570014500,1570014700,30.0
61,1570034000,1570014700,1570014500,30.0
62,1510059900,1510015900,1510016000,60.0
63,1510060000,1510016000,1510015700,60.0
64,1550058100,1550020500,1550020600,30.0
65,1550058200,1550020600,1550020500,30.0
66,1550058300,1550018800,1550019000,40.0
67,1550058400,1550019000,1550018800,40.0
68,1550064600,1550017900,1550017600,40.0
69,1550064700,1550017900,1550018200,40.0
70,1550064800,1550018200,1550017900,40.0
71,1550064900,1550006400,1550018500,30.0
72,1550065000,1550018500,1550018200,30.0
73,1550065100,1550018200,1550018500,30.0
74,1510060900,1510015500,1510016200,50.0
75,1510061000,1510016200,1510015500,50.0
76,1510061100,1510016700,1510017200,30.0
77,1510061200,1510017200,1510016700,30.0
78,1510061300,1510009600,1510017000,30.0
79,1510061400,1510017000,1510009600,30.0
80,1540091500,1540034400,1540034500,30.0
81,1540091600,1540034500,1540034400,30.0
82,1540091700,1540033800,1540024700,40.0
83,1540091800,1540024700,1540033800,40.0
84,1540092100,1540035600,1540035800,60.0
85,1540105800,1540032000,1540032200,50.0
86,1540105900,1540032200,1540032000,50.0
87,1540106000,1540032000,1540031800,50.0
88,1540106100,1540032200,1540032600,50.0
89,1540106200,1540032600,1540032200,50.0
90,1540106300,1540032600,1540032800,50.0
91,1540107200,1540031900,1540031800,50.0
92,1540107300,1540027500,1540035100,30.0
93,1540107400,1540035100,1540027500,30.0
94,1540107500,1540035400,1540035300,30.0
95,1540107600,1540035300,1540035400,30.0
96,1540107700,1540035300,1540035200,30.0
97,1570030700,1570014000,1570005400,40.0
98,1570030800,1570013900,1570013700,70.0
